[0, 563]
[1, 36]
[3, 18]
[4, 893]
[7, 426]
[9, 0]
[10, 191]
[12, 775]
[13, 183]
[14, 58]
[15, 383]
[16, 562]
[19, 321]
[20, 343]
[22, 57]
[23, 946]
[28, 35]
[30, 941]
[31, 167]
[32, 298]
[35, 499]
[38, 108]
[40, 85]
[42, 751]
[44, 960]
[45, 89]
[46, 238]
[47, 634]
[49, 19]
[50, 250]
[51, 112]
[52, 379]
[53, 141]
[54, 558]
[55, 288]
[57, 690]
[58, 90]
[62, 763]
[63, 203]
[64, 362]
[66, 272]
[67, 336]
[68, 953]
[69, 421]
[70, 564]
[71, 872]
[72, 511]
[73, 280]
[74, 485]
[77, 138]
[79, 878]
[80, 87]
[82, 158]
[88, 224]
[89, 99]
[90, 671]
[91, 184]
[92, 220]
[93, 24]
[96, 148]
[97, 210]
[98, 460]
[99, 124]
[100, 684]
[102, 135]
[104, 186]
[105, 243]
[107, 597]
[109, 266]
[111, 518]
[112, 617]
[113, 481]
[114, 656]
[115, 258]
[116, 5]
[119, 8]
[120, 218]
[121, 583]
[122, 622]
[123, 187]
[124, 373]
[125, 150]
[126, 540]
[129, 269]
[130, 551]
[132, 484]
[135, 29]
[136, 611]
[137, 363]
[138, 457]
[140, 195]
[142, 812]
[143, 284]
[145, 251]
[147, 552]
[148, 154]
[149, 428]
[151, 547]
[153, 228]
[154, 780]
[155, 889]
[156, 945]
[157, 823]
[158, 673]
[162, 715]
[163, 490]
[164, 72]
[165, 247]
[166, 30]
[167, 174]
[168, 476]
[169, 44]
[170, 726]
[171, 71]
[174, 370]
[176, 206]
[177, 664]
[179, 253]
[181, 223]
[182, 464]
[183, 208]
[184, 818]
[186, 74]
[190, 482]
[191, 802]
[192, 474]
[193, 393]
[194, 458]
[196, 248]
[199, 106]
[200, 81]
[201, 66]
[202, 943]
[203, 132]
[204, 332]
[205, 374]
[206, 745]
[207, 836]
[208, 56]
[210, 121]
[211, 353]
[213, 152]
[214, 930]
[215, 202]
[217, 761]
[220, 267]
[221, 80]
[222, 62]
[224, 7]
[227, 594]
[229, 560]
[232, 42]
[233, 967]
[234, 104]
[235, 45]
[237, 929]
[238, 453]
[239, 282]
[240, 536]
[241, 875]
[243, 264]
[244, 93]
[246, 467]
[247, 415]
[249, 361]
[250, 813]
[251, 795]
[252, 140]
[253, 125]
[254, 706]
[255, 133]
[257, 817]
[258, 670]
[259, 660]
[260, 216]
[261, 680]
[262, 785]
[263, 371]
[264, 278]
[266, 834]
[267, 599]
[271, 650]
[273, 624]
[275, 212]
[276, 168]
[277, 389]
[278, 625]
[279, 287]
[280, 12]
[281, 691]
[282, 76]
[283, 847]
[285, 659]
[286, 339]
[287, 742]
[288, 433]
[289, 870]
[290, 231]
[291, 67]
[292, 225]
[296, 83]
[297, 306]
[298, 211]
[301, 37]
[305, 996]
[306, 821]
[307, 447]
[312, 404]
[313, 662]
[314, 54]
[316, 832]
[317, 109]
[321, 702]
[322, 155]
[325, 506]
[326, 692]
[327, 369]
[329, 767]
[330, 894]
[331, 939]
[333, 230]
[340, 33]
[341, 822]
[344, 15]
[345, 128]
[346, 735]
[349, 1]
[350, 260]
[351, 221]
[352, 185]
[353, 315]
[354, 575]
[357, 46]
[361, 314]
[362, 676]
[363, 142]
[365, 933]
[366, 178]
[368, 181]
[369, 866]
[370, 117]
[372, 11]
[373, 530]
[374, 744]
[375, 261]
[378, 337]
[382, 534]
[383, 127]
[384, 586]
[385, 503]
[387, 576]
[388, 302]
[389, 188]
[394, 642]
[395, 390]
[397, 197]
[399, 110]
[401, 78]
[402, 355]
[403, 888]
[404, 263]
[405, 855]
[406, 254]
[408, 615]
[410, 232]
[412, 890]
[415, 643]
[416, 237]
[421, 326]
[422, 349]
[425, 376]
[426, 391]
[427, 543]
[428, 51]
[429, 91]
[430, 666]
[431, 380]
[432, 877]
[433, 591]
[435, 47]
[436, 469]
[437, 713]
[439, 895]
[441, 60]
[444, 525]
[445, 182]
[446, 198]
[447, 667]
[450, 590]
[451, 696]
[455, 293]
[456, 194]
[457, 382]
[458, 829]
[459, 375]
[462, 497]
[464, 843]
[466, 350]
[467, 292]
[469, 679]
[470, 255]
[473, 655]
[474, 495]
[477, 162]
[478, 759]
[479, 710]
[480, 807]
[481, 674]
[483, 850]
[484, 954]
[491, 416]
[492, 412]
[493, 201]
[494, 176]
[495, 330]
[496, 765]
[498, 494]
[500, 290]
[502, 304]
[504, 189]
[505, 936]
[506, 425]
[510, 661]
[511, 102]
[512, 800]
[513, 466]
[516, 115]
[518, 998]
[521, 510]
[522, 608]
[525, 131]
[526, 40]
[527, 68]
[528, 593]
[531, 94]
[532, 531]
[535, 256]
[536, 233]
[541, 526]
[542, 462]
[543, 456]
[544, 130]
[545, 50]
[547, 392]
[549, 289]
[550, 32]
[552, 39]
[553, 316]
[555, 922]
[556, 948]
[557, 204]
[558, 592]
[559, 120]
[561, 341]
[562, 980]
[564, 746]
[566, 757]
[567, 787]
[570, 31]
[571, 923]
[574, 146]
[577, 695]
[578, 801]
[581, 111]
[584, 129]
[585, 638]
[588, 532]
[589, 77]
[594, 891]
[595, 333]
[600, 917]
[601, 257]
[604, 844]
[605, 792]
[606, 838]
[607, 319]
[608, 407]
[609, 352]
[610, 169]
[612, 992]
[613, 974]
[614, 840]
[615, 687]
[616, 750]
[617, 97]
[620, 685]
[623, 180]
[626, 387]
[627, 10]
[631, 164]
[634, 196]
[635, 520]
[637, 17]
[640, 171]
[641, 320]
[642, 354]
[644, 409]
[645, 239]
[646, 455]
[647, 957]
[648, 75]
[649, 301]
[651, 600]
[653, 755]
[654, 199]
[655, 312]
[659, 669]
[660, 512]
[662, 721]
[665, 156]
[668, 979]
[670, 730]
[671, 804]
[672, 803]
[674, 654]
[676, 861]
[678, 96]
[679, 697]
[680, 207]
[683, 668]
[684, 900]
